App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;New Architecture;Real-time updates;1000;2;22,01;18,65;28,49;21,33;27,49;28,49;60;61;59995;0;4;174,4;109;16;14,68;16;21;27;28;0;16;1
RN;New Architecture;Real-time updates;1000;3;22,12;20;28,27;21,26;27,19;28,27;59;60;60000;0;3;174,5;103;3;2,91;16;18;19;20;0;3;0
RN;New Architecture;Real-time updates;1000;4;22,03;19,82;28,06;21,49;25,87;28,06;60;60;59994;1;4;174,3;103;13;12,62;16;21;27;29;0;13;1
RN;New Architecture;Real-time updates;1000;5;22,6;19,82;32,94;21,57;28,7;32,94;60;60;60003;0;3;175,2;101;11;10,89;16;20;27;28;0;11;0
Native;Android;Real-time updates;50;1;5,06;0;10;5;9;10;1200;1200;60000;3;4;136,7;2948;44;1,49;17;18;19;20;0;44;43
Native;Android;Real-time updates;50;2;4,057;0;11;4;9;9;1200;1200;60000;4;5;133,1;2948;44;1,49;17;18;19;20;0;44;43
Native;Android;Real-time updates;50;3;4,82;0;11;5;9;10;1200;1200;60000;3;5;134,1;1469;4;0,27;17;17;17;19;0;3;4
Native;Android;Real-time updates;50;4;5,76;0;10;7;9;10;1200;1200;59999;4;5;135,2;1475;4;0,27;17;17;17;19;0;4;4
Native;Android;Real-time updates;50;5;5,36;0;11;6;9;10;1200;1200;60000;3;4;133,8;1470;1;0,07;17;17;17;18;0;1;1
Native;Android;Real-time updates;100;1;5,08;1;17;5;10;11;600;600;60000;1;1;128,7;779;0;0;11;12;12;13;0;0;0
Native;Android;Real-time updates;100;2;5,42;1;17;5;10;12;600;600;60000;0;1;128,4;783;0;0;11;12;12;13;0;0;0
Native;Android;Real-time updates;100;3;6,02;0;17;6;10;12;600;600;60000;1;1;128,6;782;0;0;11;12;12;13;0;0;0
Native;Android;Real-time updates;100;4;6,08;0;16;6;11;12;600;600;60000;1;1;128,7;783;0;0;11;11;12;13;0;0;0
