App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;Legacy;Real-time updates;1000;6;36,41;32,48;54,96;35,72;42,36;54,96;59;60;60018;1;4;146,2;102;9;8,82;16;19;21;24;0;9;0
RN;Legacy;Real-time updates;1000;7;36,73;33,01;55,18;35,88;53,92;55,18;59;60;60031;1;5;144,7;103;14;13,59;16;21;22;27;0;14;1
RN;Legacy;Real-time updates;1000;8;36,09;32,31;53,67;35,44;39,85;53,67;59;60;60006;1;3;147,3;101;6;5,94;15;18;20;22;0;6;0
RN;Legacy;Real-time updates;1000;9;36,58;33,18;54,72;35,81;48,64;54,72;59;60;60022;1;4;145,9;102;11;10,78;16;20;22;26;0;11;1
RN;Legacy;Real-time updates;1000;10;36,24;32,76;55,34;35,53;41,02;55,34;59;60;60013;1;3;148,1;103;8;7,77;16;19;21;28;0;8;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;New Architecture;Real-time updates;50;1;30,17;19,93;69,88;22,65;58,61;66,03;1200;1201;60004;14;19;177,8;1393;344;24,69;16;27;29;31;1;344;344
RN;New Architecture;Real-time updates;50;2;35,19;18,69;69,77;28,04;61,34;65,49;1200;1201;60007;14;19;173,3;1405;599;42,63;18;28;30;32;0;599;593
RN;New Architecture;Real-time updates;50;3;37,32;19,14;67,84;32,73;60,55;63,92;1199;1200;59998;15;21;178,1;1401;643;45,9;18;28;30;32;0;643;639
RN;New Architecture;Real-time updates;50;4;37,06;19;73,37;32,67;63,01;66,81;1200;1200;60006;17;23;183,2;1403;718;51,18;22;29;31;34;1;718;713
RN;New Architecture;Real-time updates;50;5;36,02;18,98;70,48;30,34;62,79;66,91;1200;1200;60017;18;22;176,4;1397;644;46,1;19;29;30;34;1;644;639
RN;New Architecture;Real-time updates;50;6;34,74;18,87;70,12;27,86;61,88;65,97;1200;1200;60011;15;20;177,1;1402;572;40,8;18;28;30;32;0;572;567
RN;New Architecture;Real-time updates;50;7;36,58;19,21;72,64;31,95;62,74;66,52;1200;1201;60023;17;22;181,5;1399;681;48,68;20;29;31;34;1;681;676
RN;New Architecture;Real-time updates;50;8;35,63;18,74;69,46;29,72;60,96;65,31;1199;1200;59996;16;21;175,9;1406;616;43,81;18;28;30;33;0;616;611
RN;New Architecture;Real-time updates;50;9;37,21;19,08;73,05;32,48;63,19;66,88;1200;1200;60014;18;23;183;1400;704;50,29;21;29;31;34;1;704;699
RN;New Architecture;Real-time updates;50;10;33,96;18,92;68,73;26,41;59,84;64,82;1200;1201;60008;14;19;174,6;1395;508;36,42;17;27;29;31;0;508;503
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;New Architecture;Real-time updates;100;1;22,26;19,07;28,36;21,82;25,87;27,14;600;600;60000;5;6;175,4;743;21;2,83;16;18;18;21;0;21;11
RN;New Architecture;Real-time updates;100;2;22,28;19,27;28,67;21,9;25,68;27,14;600;600;60009;5;7;175,3;720;17;2,36;16;18;19;21;0;17;10
RN;New Architecture;Real-time updates;100;3;22,24;19,24;31,26;21,92;25,78;27,49;600;600;60012;5;7;174,6;724;20;2,76;16;18;18;20;0;20;9
RN;New Architecture;Real-time updates;100;4;22,3;19,05;27,57;21,99;25,86;27,07;600;600;60005;6;6;177,1;726;32;4,41;16;18;19;23;0;32;17
RN;New Architecture;Real-time updates;100;5;22,35;19,32;27,86;22,02;25,78;27,53;600;600;59993;5;6;176,4;731;28;3,83;16;18;19;22;0;28;11
RN;New Architecture;Real-time updates;100;6;22,27;19,18;28,14;21,88;25,74;27,22;600;600;60004;5;7;175,8;728;24;3,3;16;18;19;22;0;24;12
RN;New Architecture;Real-time updates;100;7;22,21;19,11;27,92;21,79;25,63;27,05;600;600;60010;5;6;174,9;722;18;2,49;16;18;18;21;0;18;9
RN;New Architecture;Real-time updates;100;8;22,34;19,29;30,84;22,01;25,91;27,61;600;600;60017;6;7;176,7;735;30;4,08;16;18;19;23;0;30;15
RN;New Architecture;Real-time updates;100;9;22,29;19,04;28,43;21,94;25,82;27,31;600;600;60002;5;6;175,6;727;22;3,03;16;18;19;21;0;22;10
RN;New Architecture;Real-time updates;100;10;22,18;19,16;27,74;21,76;25,55;26,98;600;600;59998;5;6;174,8;719;16;2,23;16;18;18;20;0;16;8
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;New Architecture;Real-time updates;200;1;22,56;18,84;30,45;22,11;26,4;28,15;300;301;60000;3;3;173,6;377;19;5,04;17;18;19;21;0;19;0
RN;New Architecture;Real-time updates;200;2;22,93;20,04;29,71;22,47;27,08;28,62;300;301;60007;2;3;177,4;379;22;5,8;17;18;19;22;0;22;0
RN;New Architecture;Real-time updates;200;3;22,87;19,92;28,44;22,44;27,24;28,27;300;301;60012;3;5;175,9;378;29;7,67;17;19;20;22;0;29;0
RN;New Architecture;Real-time updates;200;4;22,88;19,31;28,77;22,45;27,07;28,47;300;300;60002;2;3;174,4;380;16;4,21;17;18;19;21;0;16;0
RN;New Architecture;Real-time updates;200;5;22,78;20,26;28,79;22,32;26,78;28,29;300;300;60008;3;4;175;380;16;4,21;17;18;19;21;0;16;0
RN;New Architecture;Real-time updates;200;6;22,74;19,48;29,12;22,31;26,86;28,41;300;301;60005;3;4;175,6;381;18;4,72;17;18;19;21;0;18;0
RN;New Architecture;Real-time updates;200;7;22,91;20,03;30,18;22,49;27,18;28,76;300;301;60013;3;5;176,8;379;27;7,12;17;19;20;22;0;27;0
RN;New Architecture;Real-time updates;200;8;22,63;18,96;28,66;22,19;26,51;28,22;300;300;60002;2;3;174,7;378;15;3,97;17;18;19;21;0;15;0
RN;New Architecture;Real-time updates;200;9;22,84;19,74;29,43;22,42;27,03;28,58;300;301;60009;3;4;175,3;380;21;5,53;17;18;19;22;0;21;0
RN;New Architecture;Real-time updates;200;10;22,69;19,25;28,91;22,26;26,72;28,35;300;300;60002;2;3;174,9;377;16;4,24;17;18;19;21;0;16;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;New Architecture;Real-time updates;1000;1;22,34;20,13;27,27;21,58;26,5;27,27;60;61;59994;1;4;175,3;101;12;11,88;16;21;27;28;0;12;0
RN;New Architecture;Real-time updates;1000;2;22,01;18,65;28,49;21,33;27,49;28,49;60;61;59995;0;4;174,4;109;16;14,68;16;21;27;28;0;16;1
RN;New Architecture;Real-time updates;1000;3;22,12;20;28,27;21,26;27,19;28,27;59;60;60000;0;3;174,5;103;3;2,91;16;18;19;20;0;3;0
