Device,Architecture,Effective_FPS_mean,Effective_FPS_median,Effective_FPS_sd,Effective_FPS_n,Janky_Frames_Percent_mean,Janky_Frames_Percent_median,Janky_Frames_Percent_sd,Janky_Frames_Percent_n,Frame_P95_ms_mean,Frame_P95_ms_median,Frame_P95_ms_sd,Frame_P95_ms_n,Frame_P99_ms_mean,Frame_P99_ms_median,Frame_P99_ms_sd,Frame_P99_ms_n,CPU_Modal_percent_mean,CPU_Modal_percent_median,CPU_Modal_percent_sd,CPU_Modal_percent_n,RAM_Peak_MB_mean,RAM_Peak_MB_median,RAM_Peak_MB_sd,RAM_Peak_MB_n
Moto G72 (120 Hz),Native,60.55990770026516,60.56490600468574,0.04568264040199883,10,0.065,0.06,0.03628590176179541,10,11.2,11.0,1.3165611772087666,10,12.4,12.0,1.505545305418162,10,7.4,7.0,0.5163977794943222,10,127.24000000000001,127.15,0.3596294389136329,10
Moto G72 (120 Hz),RN_Legacy,58.8218878649324,58.84558094176582,0.8689732163434901,10,5.302,5.55,0.6703862899685358,10,24.4,24.5,0.9660917830792958,10,29.3,29.0,0.4830458915396479,10,17.6,18.0,0.5163977794943222,10,190.55,190.55,0.48131763593979315,10
Moto G72 (120 Hz),RN_NewArch,88.1780910630689,88.19583872066792,0.1637355589990578,10,1.7879999999999998,1.75,0.13222875800840164,10,23.8,24.0,0.4216370213557839,10,29.8,30.0,0.4216370213557839,10,18.0,18.0,0.6666666666666666,10,230.60999999999996,230.35,0.8987027688099442,10
Pixel 4a (60 Hz),Native,60.02812699263918,60.021329334174624,0.027394663021023547,10,0.268,0.28,0.0322490309931942,10,10.8,8.0,3.6147844564602556,10,11.4,9.0,3.0983866769659336,10,4.5,4.5,0.5270462766947299,10,79.52000000000001,79.80000000000001,1.928038727135256,10
Pixel 4a (60 Hz),RN_Legacy,56.053070858219925,55.97021231379235,0.2753804827855531,10,4.859,4.915,0.34047189474479556,10,21.3,21.0,0.48304589153964794,10,24.1,24.0,1.1972189997378646,10,14.0,14.0,0.6666666666666666,10,166.55,166.35000000000002,1.6541194367732663,10
Pixel 4a (60 Hz),RN_NewArch,60.223504551306746,60.22691630707678,0.09348165165969821,10,0.542,0.525,0.13414751416092494,10,22.2,22.0,0.4216370213557839,10,26.4,26.0,0.5163977794943222,10,13.0,13.0,0.0,10,218.26,219.14999999999998,3.753576072671674,10
