Device,Architecture,FPS modal_mean,FPS modal_median,FPS modal_sd,FPS modal_n,Effective_FPS_mean,Effective_FPS_median,Effective_FPS_sd,Effective_FPS_n,Janky_Frames_Percent_mean,Janky_Frames_Percent_median,Janky_Frames_Percent_sd,Janky_Frames_Percent_n,Frame_P95_ms_mean,Frame_P95_ms_median,Frame_P95_ms_sd,Frame_P95_ms_n,Frame_P99_ms_mean,Frame_P99_ms_median,Frame_P99_ms_sd,Frame_P99_ms_n,CPU_Modal_percent_mean,CPU_Modal_percent_median,CPU_Modal_percent_sd,CPU_Modal_percent_n,RAM_Peak_MB_mean,RAM_Peak_MB_median,RAM_Peak_MB_sd,RAM_Peak_MB_n
Moto G72 (120 Hz),RN_Legacy,86.8,87.0,0.7888106377466155,10,89.25725478195504,89.25879960080124,0.025969090468376463,10,0.231,0.21,0.0701506315802724,10,9.3,9.0,0.48304589153964794,10,11.6,11.0,1.505545305418162,10,10.4,10.0,0.5163977794943222,10,152.21,152.35,0.9386160024205903,10
Moto G72 (120 Hz),RN_NewArch,88.7,89.0,1.1595018087284057,10,89.66811508161913,89.66809608752371,0.05377954228318738,10,0.195,0.195,0.03374742788552765,10,9.0,9.0,0.0,10,13.0,13.0,0.9428090415820634,10,9.0,9.0,0.6666666666666666,10,159.95999999999998,161.0,6.476830500586944,10
Pixel 4a (60 Hz),RN_Legacy,56.5,57.0,1.2692955176439846,10,60.33107832123903,60.33212607925053,0.014445232884535754,10,0.027000000000000003,0.03,0.0170293863659264,10,15.6,17.0,2.9514591494904874,10,16.4,17.0,1.2649110640673518,10,6.2,6.0,0.7888106377466155,10,114.95,115.05000000000001,3.17323879410996,10
Pixel 4a (60 Hz),RN_NewArch,57.8,58.0,0.7888106377466155,10,60.29102942768486,60.29163162564295,0.014575540302951741,10,0.032999999999999995,0.03,0.0170293863659264,10,17.0,17.0,0.0,10,17.0,17.0,0.0,10,4.6,5.0,0.5163977794943222,10,132.23,133.89999999999998,4.593727607655172,10
